# theta(rad)  N(theta)  |N(theta)|
2.858849  -0.96029369  0.96029369
2.874557  -0.96455742  0.96455742
2.890265  -0.96858316  0.96858316
2.905973  -0.97236992  0.97236992
2.921681  -0.97591676  0.97591676
2.937389  -0.97922281  0.97922281
2.953097  -0.98228725  0.98228725
2.968805  -0.98510933  0.98510933
2.984513  -0.98768834  0.98768834
3.000221  -0.99002366  0.99002366
3.015929  -0.99211470  0.99211470
3.031637  -0.99396096  0.99396096
3.047345  -0.99556196  0.99556196
3.063053  -0.99691733  0.99691733
3.078761  -0.99802673  0.99802673
3.094469  -0.99888987  0.99888987
3.110177  -0.99950656  0.99950656
3.125885  -0.99987663  0.99987663
3.141593  -1.00000000  1.00000000
