# log10(N_S)  theta=0.000  theta=0.524  theta=0.785  theta=1.047  theta=1.571
-0.825000  0.47337862  0.41287256  0.33999076  0.24313587  0.00000000
-0.800000  0.49351052  0.43055688  0.35467937  0.25376150  0.00000000
-0.775000  0.51415523  0.44870200  0.36976124  0.26468194  0.00000000
-0.750000  0.53529736  0.46729512  0.38522650  0.27589084  0.00000000
-0.725000  0.55691910  0.48632128  0.40106347  0.28738053  0.00000000
-0.700000  0.57900020  0.50576339  0.41725866  0.29914198  0.00000000
-0.675000  0.60151805  0.52560218  0.43379674  0.31116484  0.00000000
-0.650000  0.62444766  0.54581630  0.45066062  0.32343740  0.00000000
-0.625000  0.64776176  0.56638231  0.46783139  0.33594663  0.00000000
-0.600000  0.67143090  0.58727478  0.48528845  0.34867817  0.00000000
-0.575000  0.69542353  0.60846641  0.50300956  0.36161644  0.00000000
-0.550000  0.71970618  0.62992808  0.52097091  0.37474464  0.00000000
-0.525000  0.74424362  0.65162908  0.53914723  0.38804482  0.00000000
-0.500000  0.76899903  0.67353718  0.55751197  0.40149802  0.00000000
-0.475000  0.79393423  0.69561888  0.57603735  0.41508431  0.00000000
-0.450000  0.81900989  0.71783956  0.59469463  0.42878292  0.00000000
-0.425000  0.84418578  0.74016372  0.61345418  0.44257238  0.00000000
-0.400000  0.86942101  0.76255519  0.63228573  0.45643062  0.00000000
-0.375000  0.89467433  0.78497734  0.65115852  0.47033512  0.00000000
-0.350000  0.91990436  0.80739338  0.67004156  0.48426307  0.00000000
-0.325000  0.94506985  0.82976652  0.68890375  0.49819149  0.00000000
-0.300000  0.97013000  0.85206027  0.70771416  0.51209741  0.00000000
-0.275000  0.99504469  0.87423865  0.72644216  0.52595800  0.00000000
-0.250000  1.01977470  0.89626644  0.74505770  0.53975073  0.00000000
-0.225000  1.04428202  0.91810936  0.76353143  0.55345351  0.00000000
-0.200000  1.06853002  0.93973431  0.78183490  0.56704485  0.00000000
-0.175000  1.09248368  0.96110955  0.79994075  0.58050393  0.00000000
-0.150000  1.11610975  0.98220488  0.81782284  0.59381080  0.00000000
-0.125000  1.13937697  1.00299177  0.83545640  0.60694644  0.00000000
-0.100000  1.16225613  1.02344354  0.85281814  0.61989287  0.00000000
-0.075000  1.18472026  1.04353540  0.86988637  0.63263325  0.00000000
-0.050000  1.20674466  1.06324460  0.88664105  0.64515193  0.00000000
-0.025000  1.22830700  1.08255048  0.90306390  0.65743451  0.00000000
0.000000  1.24938737  1.10143449  0.91913841  0.66946790  0.00000000
0.025000  1.26996824  1.11988025  0.93484990  0.68124033  0.00000000
0.050000  1.29003452  1.13787351  0.95018548  0.69274140  0.00000000
0.075000  1.30957349  1.15540219  0.96513411  0.70396203  0.00000000
0.100000  1.32857479  1.17245627  0.97968652  0.71489449  0.00000000
0.125000  1.34703029  1.18902780  0.99383517  0.72553238  0.00000000
0.150000  1.36493410  1.20511082  1.00757428  0.73587055  0.00000000
0.175000  1.38228241  1.22070125  1.02089965  0.74590513  0.00000000
0.200000  1.39907340  1.23579683  1.03380868  0.75563344  0.00000000
0.225000  1.41530715  1.25039703  1.04630027  0.76505393  0.00000000
0.250000  1.43098548  1.26450291  1.05837468  0.77416614  0.00000000
0.275000  1.44611188  1.27811705  1.07003351  0.78297062  0.00000000
0.300000  1.46069133  1.29124339  1.08127958  0.79146887  0.00000000
0.325000  1.47473019  1.30388718  1.09211680  0.79966326  0.00000000
0.350000  1.48823607  1.31605478  1.10255014  0.80755695  0.00000000
0.375000  1.50121771  1.32775361  1.11258544  0.81515386  0.00000000
0.400000  1.51368484  1.33899202  1.12222941  0.82245854  0.00000000
0.425000  1.52564805  1.34977917  1.13148947  0.82947613  0.00000000
0.450000  1.53711871  1.36012492  1.14037367  0.83621228  0.00000000
0.475000  1.54810881  1.37003975  1.14889063  0.84267312  0.00000000
0.500000  1.55863088  1.37953464  1.15704943  0.84886513  0.00000000
0.525000  1.56869789  1.38862100  1.16485953  0.85479512  0.00000000
0.550000  1.57832314  1.39731055  1.17233070  0.86047017  0.00000000
0.575000  1.58752020  1.40561528  1.17947297  0.86589758  0.00000000
0.600000  1.59630280  1.41354735  1.18629653  0.87108481  0.00000000
0.625000  1.60468477  1.42111904  1.19281168  0.87603942  0.00000000
0.650000  1.61267997  1.42834266  1.19902882  0.88076904  0.00000000
0.675000  1.62030223  1.43523053  1.20495833  0.88528137  0.00000000
0.700000  1.62756529  1.44179490  1.21061056  0.88958406  0.00000000
0.725000  1.63448279  1.44804792  1.21599581  0.89368476  0.00000000
0.750000  1.64106814  1.45400159  1.22112425  0.89759103  0.00000000
0.775000  1.64733458  1.45966774  1.22600594  0.90131037  0.00000000
0.800000  1.65329509  1.46505799  1.23065074  0.90485016  0.00000000
0.825000  1.65896237  1.47018372  1.23506834  0.90821763  0.00000000
0.850000  1.66434883  1.47505607  1.23926822  0.91141990  0.00000000
0.875000  1.66946658  1.47968588  1.24325965  0.91446390  0.00000000
0.900000  1.67432736  1.48408370  1.24705162  0.91735641  0.00000000
0.925000  1.67894261  1.48825981  1.25065292  0.92010403  0.00000000
0.950000  1.68332338  1.49222415  1.25407202  0.92271314  0.00000000
0.975000  1.68748039  1.49598635  1.25731719  0.92518997  0.00000000
1.000000  1.69142399  1.49955572  1.26039639  0.92754053  0.00000000
1.025000  1.69516415  1.50294124  1.26331730  0.92977063  0.00000000
1.050000  1.69871050  1.50615158  1.26608736  0.93188588  0.00000000
1.075000  1.70207228  1.50919507  1.26871372  0.93389169  0.00000000
1.100000  1.70525840  1.51207973  1.27120325  0.93579327  0.00000000
1.125000  1.70827739  1.51481327  1.27356257  0.93759562  0.00000000
1.150000  1.71113746  1.51740307  1.27579801  0.93930356  0.00000000
1.175000  1.71384645  1.51985623  1.27791567  0.94092170  0.00000000
1.200000  1.71641189  1.52217952  1.27992138  0.94245447  0.00000000
1.225000  1.71884098  1.52437944  1.28182072  0.94390610  0.00000000
1.250000  1.72114058  1.52646221  1.28361903  0.94528066  0.00000000
1.275000  1.72331727  1.52843375  1.28532142  0.94658201  0.00000000
1.300000  1.72537732  1.53029973  1.28693275  0.94781388  0.00000000
1.325000  1.72732672  1.53206556  1.28845769  0.94897979  0.00000000
1.350000  1.72917118  1.53373639  1.28990066  0.95008313  0.00000000
1.375000  1.73091612  1.53531714  1.29126591  0.95112712  0.00000000
1.400000  1.73256673  1.53681249  1.29255747  0.95211482  0.00000000
1.425000  1.73412793  1.53822689  1.29377916  0.95304917  0.00000000
1.450000  1.73560442  1.53956459  1.29493465  0.95393293  0.00000000
1.475000  1.73700066  1.54082962  1.29602742  0.95476878  0.00000000
1.500000  1.73832088  1.54202581  1.29706076  0.95555921  0.00000000
1.525000  1.73956912  1.54315681  1.29803782  0.95630664  0.00000000
1.550000  1.74074920  1.54422609  1.29896159  0.95701333  0.00000000
1.575000  1.74186476  1.54523692  1.29983490  0.95768146  0.00000000
1.600000  1.74291925  1.54619244  1.30066044  0.95831307  0.00000000
1.625000  1.74391593  1.54709561  1.30144078  0.95891012  0.00000000
1.650000  1.74485793  1.54794923  1.30217832  0.95947446  0.00000000
1.675000  1.74574817  1.54875597  1.30287539  0.96000783  0.00000000
1.700000  1.74658946  1.54951837  1.30353415  0.96051192  0.00000000
1.725000  1.74738445  1.55023881  1.30415668  0.96098830  0.00000000
1.750000  1.74813564  1.55091958  1.30474493  0.96143847  0.00000000
1.775000  1.74884540  1.55156281  1.30530077  0.96186384  0.00000000
1.800000  1.74951600  1.55217057  1.30582595  0.96226577  0.00000000
1.825000  1.75014957  1.55274476  1.30632215  0.96264552  0.00000000
1.850000  1.75074812  1.55328723  1.30679093  0.96300430  0.00000000
1.875000  1.75131357  1.55379971  1.30723381  0.96334327  0.00000000
1.900000  1.75184773  1.55428383  1.30765219  0.96366349  0.00000000
1.925000  1.75235231  1.55474115  1.30804741  0.96396599  0.00000000
1.950000  1.75282894  1.55517314  1.30842074  0.96425175  0.00000000
1.975000  1.75327915  1.55558119  1.30877339  0.96452167  0.00000000
2.000000  1.75370438  1.55596660  1.30910649  0.96477664  0.00000000
