# x1  y1  x2  y2  source_idx  target_idx  source_label  target_label
7  -1  7  -3  1  0  N(L,N(N(L,L),L))  N(L,N(L,N(L,L)))
7  0  7  -3  2  0  N(N(L,L),N(L,L))  N(L,N(L,N(L,L)))
7  1  7  -1  3  1  N(N(L,N(L,L)),L)  N(L,N(N(L,L),L))
7  3  7  0  4  2  N(N(N(L,L),L),L)  N(N(L,L),N(L,L))
7  3  7  1  4  3  N(N(N(L,L),L),L)  N(N(L,N(L,L)),L)
