# theta(rad)  log10(N_S)  adv_dB
0.837758  -1.125000  0.18548053
0.837758  -1.083333  0.20114523
0.837758  -1.041667  0.21786195
0.837758  -1.000000  0.23565567
0.837758  -0.958333  0.25454423
0.837758  -0.916667  0.27453705
0.837758  -0.875000  0.29563403
0.837758  -0.833333  0.31782439
0.837758  -0.791667  0.34108572
0.837758  -0.750000  0.36538314
0.837758  -0.708333  0.39066876
0.837758  -0.666667  0.41688132
0.837758  -0.625000  0.44394626
0.837758  -0.583333  0.47177609
0.837758  -0.541667  0.50027118
0.837758  -0.500000  0.52932088
0.837758  -0.458333  0.55880508
0.837758  -0.416667  0.58859604
0.837758  -0.375000  0.61856055
0.837758  -0.333333  0.64856226
0.837758  -0.291667  0.67846414
0.837758  -0.250000  0.70813098
0.837758  -0.208333  0.73743180
0.837758  -0.166667  0.76624209
0.837758  -0.125000  0.79444586
0.837758  -0.083333  0.82193733
0.837758  -0.041667  0.84862232
0.837758  0.000000  0.87441916
0.837758  0.041667  0.89925938
0.837758  0.083333  0.92308785
0.837758  0.125000  0.94586266
0.837758  0.166667  0.96755476
0.837758  0.208333  0.98814715
0.837758  0.250000  1.00763407
0.837758  0.291667  1.02601993
0.837758  0.333333  1.04331815
0.837758  0.375000  1.05954998
0.837758  0.416667  1.07474330
0.837758  0.458333  1.08893144
0.837758  0.500000  1.10215209
0.837758  0.541667  1.11444625
0.837758  0.583333  1.12585727
0.837758  0.625000  1.13643004
0.837758  0.666667  1.14621023
0.837758  0.708333  1.15524367
0.837758  0.750000  1.16357578
0.837758  0.791667  1.17125118
0.837758  0.833333  1.17831327
0.837758  0.875000  1.18480400
0.837758  0.916667  1.19076363
0.837758  0.958333  1.19623062
0.837758  1.000000  1.20124145
0.837758  1.041667  1.20583065
0.837758  1.083333  1.21003072
0.837758  1.125000  1.21387217
0.837758  1.166667  1.21738353
0.837758  1.208333  1.22059145
0.837758  1.250000  1.22352069
0.837758  1.291667  1.22619425
0.837758  1.333333  1.22863344
0.837758  1.375000  1.23085798
0.837758  1.416667  1.23288605
0.837758  1.458333  1.23473443
0.837758  1.500000  1.23641856
0.837758  1.541667  1.23795263
0.837758  1.583333  1.23934970
0.837758  1.625000  1.24062171
0.837758  1.666667  1.24177963
0.837758  1.708333  1.24283351
0.837758  1.750000  1.24379255
0.837758  1.791667  1.24466514
0.837758  1.833333  1.24545898
0.837758  1.875000  1.24618107
0.837758  1.916667  1.24683784
0.837758  1.958333  1.24743513
0.837758  2.000000  1.24797828

0.890118  -3.000000  0.00272679
0.890118  -2.958333  0.00300067
0.890118  -2.916667  0.00330197
0.890118  -2.875000  0.00363344
0.890118  -2.833333  0.00399806
0.890118  -2.791667  0.00439915
0.890118  -2.750000  0.00484030
0.890118  -2.708333  0.00532549
0.890118  -2.666667  0.00585908
0.890118  -2.625000  0.00644583
0.890118  -2.583333  0.00709099
0.890118  -2.541667  0.00780030
0.890118  -2.500000  0.00858003
0.890118  -2.458333  0.00943709
0.890118  -2.416667  0.01037900
0.890118  -2.375000  0.01141400
0.890118  -2.333333  0.01255111
0.890118  -2.291667  0.01380016
0.890118  -2.250000  0.01517191
0.890118  -2.208333  0.01667805
0.890118  -2.166667  0.01833137
0.890118  -2.125000  0.02014574
0.890118  -2.083333  0.02213628
0.890118  -2.041667  0.02431938
0.890118  -2.000000  0.02671281
0.890118  -1.958333  0.02933583
0.890118  -1.916667  0.03220922
0.890118  -1.875000  0.03535543
0.890118  -1.833333  0.03879858
0.890118  -1.791667  0.04256460
0.890118  -1.750000  0.04668124
0.890118  -1.708333  0.05117813
0.890118  -1.666667  0.05608682
0.890118  -1.625000  0.06144075
0.890118  -1.583333  0.06727521
0.890118  -1.541667  0.07362733
0.890118  -1.500000  0.08053590
0.890118  -1.458333  0.08804125
0.890118  -1.416667  0.09618500
0.890118  -1.375000  0.10500980
0.890118  -1.333333  0.11455893
0.890118  -1.291667  0.12487584
0.890118  -1.250000  0.13600365
0.890118  -1.208333  0.14798448
0.890118  -1.166667  0.16085871
0.890118  -1.125000  0.17466416
0.890118  -1.083333  0.18943514
0.890118  -1.041667  0.20520146
0.890118  -1.000000  0.22198735
0.890118  -0.958333  0.23981031
0.890118  -0.916667  0.25867999
0.890118  -0.875000  0.27859708
0.890118  -0.833333  0.29955223
0.890118  -0.791667  0.32152512
0.890118  -0.750000  0.34448366
0.890118  -0.708333  0.36838343
0.890118  -0.666667  0.39316737
0.890118  -0.625000  0.41876576
0.890118  -0.583333  0.44509660
0.890118  -0.541667  0.47206624
0.890118  -0.500000  0.49957053
0.890118  -0.458333  0.52749618
0.890118  -0.416667  0.55572253
0.890118  -0.375000  0.58412353
0.890118  -0.333333  0.61257001
0.890118  -0.291667  0.64093193
0.890118  -0.250000  0.66908083
0.890118  -0.208333  0.69689206
0.890118  -0.166667  0.72424697
0.890118  -0.125000  0.75103486
0.890118  -0.083333  0.77715459
0.890118  -0.041667  0.80251594
0.890118  0.000000  0.82704054
0.890118  0.041667  0.85066246
0.890118  0.083333  0.87332845
0.890118  0.125000  0.89499786
0.890118  0.166667  0.91564222
0.890118  0.208333  0.93524458
0.890118  0.250000  0.95379873
0.890118  0.291667  0.97130817
0.890118  0.333333  0.98778504
0.890118  0.375000  1.00324898
0.890118  0.416667  1.01772601
0.890118  0.458333  1.03124740
0.890118  0.500000  1.04384864
0.890118  0.541667  1.05556840
0.890118  0.583333  1.06644767
0.890118  0.625000  1.07652894
0.890118  0.666667  1.08585549
0.890118  0.708333  1.09447079
0.890118  0.750000  1.10241796
0.890118  0.791667  1.10973938
0.890118  0.833333  1.11647630
0.890118  0.875000  1.12266862
0.890118  0.916667  1.12835463
0.890118  0.958333  1.13357093
0.890118  1.000000  1.13835225
0.890118  1.041667  1.14273147
0.890118  1.083333  1.14673956
0.890118  1.125000  1.15040557
0.890118  1.166667  1.15375671
0.890118  1.208333  1.15681834
0.890118  1.250000  1.15961410
0.890118  1.291667  1.16216591
0.890118  1.333333  1.16449408
0.890118  1.375000  1.16661742
0.890118  1.416667  1.16855327
0.890118  1.458333  1.17031764
0.890118  1.500000  1.17192526
0.890118  1.541667  1.17338966
0.890118  1.583333  1.17472329
0.890118  1.625000  1.17593757
0.890118  1.666667  1.17704295
0.890118  1.708333  1.17804903
0.890118  1.750000  1.17896456
0.890118  1.791667  1.17979759
0.890118  1.833333  1.18055543
0.890118  1.875000  1.18124479
0.890118  1.916667  1.18187180
0.890118  1.958333  1.18244202
0.890118  2.000000  1.18296056

0.942478  -3.000000  0.00254688
0.942478  -2.958333  0.00280269
0.942478  -2.916667  0.00308412
0.942478  -2.875000  0.00339372
0.942478  -2.833333  0.00373431
0.942478  -2.791667  0.00410894
0.942478  -2.750000  0.00452101
0.942478  -2.708333  0.00497421
0.942478  -2.666667  0.00547262
0.942478  -2.625000  0.00602070
0.942478  -2.583333  0.00662334
0.942478  -2.541667  0.00728591
0.942478  -2.500000  0.00801427
0.942478  -2.458333  0.00881487
0.942478  -2.416667  0.00969475
0.942478  -2.375000  0.01066160
0.942478  -2.333333  0.01172385
0.942478  -2.291667  0.01289070
0.942478  -2.250000  0.01417219
0.942478  -2.208333  0.01557927
0.942478  -2.166667  0.01712388
0.942478  -2.125000  0.01881900
0.942478  -2.083333  0.02067876
0.942478  -2.041667  0.02271849
0.942478  -2.000000  0.02495482
0.942478  -1.958333  0.02740576
0.942478  -1.916667  0.03009076
0.942478  -1.875000  0.03303082
0.942478  -1.833333  0.03624853
0.942478  -1.791667  0.03976816
0.942478  -1.750000  0.04361569
0.942478  -1.708333  0.04781890
0.942478  -1.666667  0.05240734
0.942478  -1.625000  0.05741234
0.942478  -1.583333  0.06286703
0.942478  -1.541667  0.06880621
0.942478  -1.500000  0.07526632
0.942478  -1.458333  0.08228522
0.942478  -1.416667  0.08990204
0.942478  -1.375000  0.09815687
0.942478  -1.333333  0.10709047
0.942478  -1.291667  0.11674379
0.942478  -1.250000  0.12715750
0.942478  -1.208333  0.13837140
0.942478  -1.166667  0.15042372
0.942478  -1.125000  0.16335034
0.942478  -1.083333  0.17718391
0.942478  -1.041667  0.19195296
0.942478  -1.000000  0.20768079
0.942478  -0.958333  0.22438452
0.942478  -0.916667  0.24207392
0.942478  -0.875000  0.26075041
0.942478  -0.833333  0.28040606
0.942478  -0.791667  0.30102264
0.942478  -0.750000  0.32257088
0.942478  -0.708333  0.34500996
0.942478  -0.666667  0.36828712
0.942478  -0.625000  0.39233768
0.942478  -0.583333  0.41708530
0.942478  -0.541667  0.44244266
0.942478  -0.500000  0.46831236
0.942478  -0.458333  0.49458832
0.942478  -0.416667  0.52115732
0.942478  -0.375000  0.54790094
0.942478  -0.333333  0.57469757
0.942478  -0.291667  0.60142466
0.942478  -0.250000  0.62796092
0.942478  -0.208333  0.65418850
0.942478  -0.166667  0.67999506
0.942478  -0.125000  0.70527558
0.942478  -0.083333  0.72993397
0.942478  -0.041667  0.75388432
0.942478  0.000000  0.77705186
0.942478  0.041667  0.79937349
0.942478  0.083333  0.82079809
0.942478  0.125000  0.84128640
0.942478  0.166667  0.86081069
0.942478  0.208333  0.87935418
0.942478  0.250000  0.89691024
0.942478  0.291667  0.91348148
0.942478  0.333333  0.92907873
0.942478  0.375000  0.94372000
0.942478  0.416667  0.95742938
0.942478  0.458333  0.97023598
0.942478  0.500000  0.98217295
0.942478  0.541667  0.99327656
0.942478  0.583333  1.00358527
0.942478  0.625000  1.01313904
0.942478  0.666667  1.02197861
0.942478  0.708333  1.03014495
0.942478  0.750000  1.03767873
0.942478  0.791667  1.04461993
0.942478  0.833333  1.05100754
0.942478  0.875000  1.05687922
0.942478  0.916667  1.06227121
0.942478  0.958333  1.06721808
0.942478  1.000000  1.07175272
0.942478  1.041667  1.07590623
0.942478  1.083333  1.07970792
0.942478  1.125000  1.08318531
0.942478  1.166667  1.08636415
0.942478  1.208333  1.08926850
0.942478  1.250000  1.09192071
0.942478  1.291667  1.09434157
0.942478  1.333333  1.09655034
0.942478  1.375000  1.09856484
0.942478  1.416667  1.10040150
0.942478  1.458333  1.10207551
0.942478  1.500000  1.10360081
0.942478  1.541667  1.10499027
0.942478  1.583333  1.10625566
0.942478  1.625000  1.10740782
0.942478  1.666667  1.10845668
0.942478  1.708333  1.10941131
0.942478  1.750000  1.11028005
0.942478  1.791667  1.11107050
0.942478  1.833333  1.11178962
0.942478  1.875000  1.11244377
0.942478  1.916667  1.11303874
0.942478  1.958333  1.11357984
0.942478  2.000000  1.11407190

0.994838  -3.000000  0.00235997
0.994838  -2.958333  0.00259702
0.994838  -2.916667  0.00285780
0.994838  -2.875000  0.00314470
0.994838  -2.833333  0.00346030
0.994838  -2.791667  0.00380746
0.994838  -2.750000  0.00418930
0.994838  -2.708333  0.00460927
0.994838  -2.666667  0.00507114
0.994838  -2.625000  0.00557904
0.994838  -2.583333  0.00613750
0.994838  -2.541667  0.00675150
0.994838  -2.500000  0.00742649
0.994838  -2.458333  0.00816843
0.994838  -2.416667  0.00898384
0.994838  -2.375000  0.00987988
0.994838  -2.333333  0.01086434
0.994838  -2.291667  0.01194576
0.994838  -2.250000  0.01313346
0.994838  -2.208333  0.01443758
0.994838  -2.166667  0.01586920
0.994838  -2.125000  0.01744037
0.994838  -2.083333  0.01916418
0.994838  -2.041667  0.02105488
0.994838  -2.000000  0.02312789
0.994838  -1.958333  0.02539992
0.994838  -1.916667  0.02788903
0.994838  -1.875000  0.03061473
0.994838  -1.833333  0.03359798
0.994838  -1.791667  0.03686134
0.994838  -1.750000  0.04042895
0.994838  -1.708333  0.04432662
0.994838  -1.666667  0.04858182
0.994838  -1.625000  0.05322372
0.994838  -1.583333  0.05828311
0.994838  -1.541667  0.06379242
0.994838  -1.500000  0.06978556
0.994838  -1.458333  0.07629783
0.994838  -1.416667  0.08336572
0.994838  -1.375000  0.09102666
0.994838  -1.333333  0.09931870
0.994838  -1.291667  0.10828015
0.994838  -1.250000  0.11794910
0.994838  -1.208333  0.12836287
0.994838  -1.166667  0.13955736
0.994838  -1.125000  0.15156638
0.994838  -1.083333  0.16442078
0.994838  -1.041667  0.17814763
0.994838  -1.000000  0.19276923
0.994838  -0.958333  0.20830215
0.994838  -0.916667  0.22475622
0.994838  -0.875000  0.24213352
0.994838  -0.833333  0.26042746
0.994838  -0.791667  0.27962191
0.994838  -0.750000  0.29969046
0.994838  -0.708333  0.32059593
0.994838  -0.666667  0.34228998
0.994838  -0.625000  0.36471312
0.994838  -0.583333  0.38779491
0.994838  -0.541667  0.41145454
0.994838  -0.500000  0.43560173
0.994838  -0.458333  0.46013790
0.994838  -0.416667  0.48495768
0.994838  -0.375000  0.50995064
0.994838  -0.333333  0.53500323
0.994838  -0.291667  0.56000080
0.994838  -0.250000  0.58482971
0.994838  -0.208333  0.60937937
0.994838  -0.166667  0.63354417
0.994838  -0.125000  0.65722523
0.994838  -0.083333  0.68033191
0.994838  -0.041667  0.70278299
0.994838  0.000000  0.72450761
0.994838  0.041667  0.74544583
0.994838  0.083333  0.76554887
0.994838  0.125000  0.78477908
0.994838  0.166667  0.80310964
0.994838  0.208333  0.82052403
0.994838  0.250000  0.83701527
0.994838  0.291667  0.85258513
0.994838  0.333333  0.86724313
0.994838  0.375000  0.88100560
0.994838  0.416667  0.89389463
0.994838  0.458333  0.90593710
0.994838  0.500000  0.91716375
0.994838  0.541667  0.92760825
0.994838  0.583333  0.93730647
0.994838  0.625000  0.94629567
0.994838  0.666667  0.95461391
0.994838  0.708333  0.96229952
0.994838  0.750000  0.96939055
0.994838  0.791667  0.97592447
0.994838  0.833333  0.98193782
0.994838  0.875000  0.98746594
0.994838  0.916667  0.99254280
0.994838  0.958333  0.99720090
0.994838  1.000000  1.00147109
0.994838  1.041667  1.00538261
0.994838  1.083333  1.00896300
0.994838  1.125000  1.01223812
0.994838  1.166667  1.01523221
0.994838  1.208333  1.01796785
0.994838  1.250000  1.02046610
0.994838  1.291667  1.02274651
0.994838  1.333333  1.02482720
0.994838  1.375000  1.02672493
0.994838  1.416667  1.02845518
0.994838  1.458333  1.03003223
0.994838  1.500000  1.03146923
0.994838  1.541667  1.03277826
0.994838  1.583333  1.03397044
0.994838  1.625000  1.03505596
0.994838  1.666667  1.03604415
0.994838  1.708333  1.03694359
0.994838  1.750000  1.03776211
0.994838  1.791667  1.03850687
0.994838  1.833333  1.03918444
0.994838  1.875000  1.03980079
0.994838  1.916667  1.04036139
0.994838  1.958333  1.04087123
0.994838  2.000000  1.04133487

1.047198  -3.000000  0.00216660
1.047198  -2.958333  0.00238422
1.047198  -2.916667  0.00262365
1.047198  -2.875000  0.00288704
1.047198  -2.833333  0.00317679
1.047198  -2.791667  0.00349552
1.047198  -2.750000  0.00384610
1.047198  -2.708333  0.00423168
1.047198  -2.666667  0.00465573
1.047198  -2.625000  0.00512204
1.047198  -2.583333  0.00563479
1.047198  -2.541667  0.00619854
1.047198  -2.500000  0.00681829
1.047198  -2.458333  0.00749951
1.047198  -2.416667  0.00824822
1.047198  -2.375000  0.00907096
1.047198  -2.333333  0.00997491
1.047198  -2.291667  0.01096791
1.047198  -2.250000  0.01205852
1.047198  -2.208333  0.01325607
1.047198  -2.166667  0.01457073
1.047198  -2.125000  0.01601357
1.047198  -2.083333  0.01759665
1.047198  -2.041667  0.01933304
1.047198  -2.000000  0.02123694
1.047198  -1.958333  0.02332370
1.047198  -1.916667  0.02560995
1.047198  -1.875000  0.02811362
1.047198  -1.833333  0.03085402
1.047198  -1.791667  0.03385190
1.047198  -1.750000  0.03712948
1.047198  -1.708333  0.04071055
1.047198  -1.666667  0.04462040
1.047198  -1.625000  0.04888592
1.047198  -1.583333  0.05353550
1.047198  -1.541667  0.05859905
1.047198  -1.500000  0.06410788
1.047198  -1.458333  0.07009458
1.047198  -1.416667  0.07659288
1.047198  -1.375000  0.08363740
1.047198  -1.333333  0.09126337
1.047198  -1.291667  0.09950629
1.047198  -1.250000  0.10840151
1.047198  -1.208333  0.11798371
1.047198  -1.166667  0.12828634
1.047198  -1.125000  0.13934096
1.047198  -1.083333  0.15117646
1.047198  -1.041667  0.16381832
1.047198  -1.000000  0.17728767
1.047198  -0.958333  0.19160043
1.047198  -0.916667  0.20676637
1.047198  -0.875000  0.22278813
1.047198  -0.833333  0.23966043
1.047198  -0.791667  0.25736918
1.047198  -0.750000  0.27589084
1.047198  -0.708333  0.29519191
1.047198  -0.666667  0.31522857
1.047198  -0.625000  0.33594663
1.047198  -0.583333  0.35728173
1.047198  -0.541667  0.37915984
1.047198  -0.500000  0.40149802
1.047198  -0.458333  0.42420555
1.047198  -0.416667  0.44718526
1.047198  -0.375000  0.47033512
1.047198  -0.333333  0.49355005
1.047198  -0.291667  0.51672376
1.047198  -0.250000  0.53975073
1.047198  -0.208333  0.56252809
1.047198  -0.166667  0.58495742
1.047198  -0.125000  0.60694644
1.047198  -0.083333  0.62841035
1.047198  -0.041667  0.64927303
1.047198  0.000000  0.66946790
1.047198  0.041667  0.68893845
1.047198  0.083333  0.70763855
1.047198  0.125000  0.72553238
1.047198  0.166667  0.74259419
1.047198  0.208333  0.75880785
1.047198  0.250000  0.77416614
1.047198  0.291667  0.78867002
1.047198  0.333333  0.80232772
1.047198  0.375000  0.81515386
1.047198  0.416667  0.82716849
1.047198  0.458333  0.83839617
1.047198  0.500000  0.84886513
1.047198  0.541667  0.85860636
1.047198  0.583333  0.86765297
1.047198  0.625000  0.87603942
1.047198  0.666667  0.88380093
1.047198  0.708333  0.89097303
1.047198  0.750000  0.89759103
1.047198  0.791667  0.90368973
1.047198  0.833333  0.90930306
1.047198  0.875000  0.91446390
1.047198  0.916667  0.91920386
1.047198  0.958333  0.92355315
1.047198  1.000000  0.92754053
1.047198  1.041667  0.93119322
1.047198  1.083333  0.93453688
1.047198  1.125000  0.93759562
1.047198  1.166667  0.94039202
1.047198  1.208333  0.94294716
1.047198  1.250000  0.94528066
1.047198  1.291667  0.94741076
1.047198  1.333333  0.94935436
1.047198  1.375000  0.95112712
1.047198  1.416667  0.95274347
1.047198  1.458333  0.95421675
1.047198  1.500000  0.95555921
1.047198  1.541667  0.95678216
1.047198  1.583333  0.95789596
1.047198  1.625000  0.95891012
1.047198  1.666667  0.95983338
1.047198  1.708333  0.96067372
1.047198  1.750000  0.96143847
1.047198  1.791667  0.96213432
1.047198  1.833333  0.96276739
1.047198  1.875000  0.96334327
1.047198  1.916667  0.96386706
1.047198  1.958333  0.96434344
1.047198  2.000000  0.96477664

1.099557  -3.000000  0.00196727
1.099557  -2.958333  0.00216488
1.099557  -2.916667  0.00238229
1.099557  -2.875000  0.00262146
1.099557  -2.833333  0.00288457
1.099557  -2.791667  0.00317398
1.099557  -2.750000  0.00349232
1.099557  -2.708333  0.00384246
1.099557  -2.666667  0.00422752
1.099557  -2.625000  0.00465097
1.099557  -2.583333  0.00511659
1.099557  -2.541667  0.00562853
1.099557  -2.500000  0.00619132
1.099557  -2.458333  0.00680996
1.099557  -2.416667  0.00748988
1.099557  -2.375000  0.00823705
1.099557  -2.333333  0.00905799
1.099557  -2.291667  0.00995981
1.099557  -2.250000  0.01095031
1.099557  -2.208333  0.01203795
1.099557  -2.166667  0.01323198
1.099557  -2.125000  0.01454248
1.099557  -2.083333  0.01598040
1.099557  -2.041667  0.01755763
1.099557  -2.000000  0.01928707
1.099557  -1.958333  0.02118270
1.099557  -1.916667  0.02325965
1.099557  -1.875000  0.02553423
1.099557  -1.833333  0.02802400
1.099557  -1.791667  0.03074788
1.099557  -1.750000  0.03372610
1.099557  -1.708333  0.03698031
1.099557  -1.666667  0.04053358
1.099557  -1.625000  0.04441040
1.099557  -1.583333  0.04863669
1.099557  -1.541667  0.05323973
1.099557  -1.500000  0.05824811
1.099557  -1.458333  0.06369160
1.099557  -1.416667  0.06960104
1.099557  -1.375000  0.07600811
1.099557  -1.333333  0.08294507
1.099557  -1.291667  0.09044448
1.099557  -1.250000  0.09853878
1.099557  -1.208333  0.10725988
1.099557  -1.166667  0.11663860
1.099557  -1.125000  0.12670409
1.099557  -1.083333  0.13748312
1.099557  -1.041667  0.14899943
1.099557  -1.000000  0.16127284
1.099557  -0.958333  0.17431847
1.099557  -0.916667  0.18814589
1.099557  -0.875000  0.20275823
1.099557  -0.833333  0.21815139
1.099557  -0.791667  0.23431331
1.099557  -0.750000  0.25122329
1.099557  -0.708333  0.26885151
1.099557  -0.666667  0.28715874
1.099557  -0.625000  0.30609621
1.099557  -0.583333  0.32560579
1.099557  -0.541667  0.34562041
1.099557  -0.500000  0.36606476
1.099557  -0.458333  0.38685626
1.099557  -0.416667  0.40790629
1.099557  -0.375000  0.42912163
1.099557  -0.333333  0.45040606
1.099557  -0.291667  0.47166212
1.099557  -0.250000  0.49279285
1.099557  -0.208333  0.51370359
1.099557  -0.166667  0.53430358
1.099557  -0.125000  0.55450758
1.099557  -0.083333  0.57423709
1.099557  -0.041667  0.59342149
1.099557  0.000000  0.61199884
1.099557  0.041667  0.62991644
1.099557  0.083333  0.64713104
1.099557  0.125000  0.66360893
1.099557  0.166667  0.67932564
1.099557  0.208333  0.69426557
1.099557  0.250000  0.70842135
1.099557  0.291667  0.72179322
1.099557  0.333333  0.73438813
1.099557  0.375000  0.74621900
1.099557  0.416667  0.75730378
1.099557  0.458333  0.76766466
1.099557  0.500000  0.77732725
1.099557  0.541667  0.78631979
1.099557  0.583333  0.79467247
1.099557  0.625000  0.80241681
1.099557  0.666667  0.80958510
1.099557  0.708333  0.81620988
1.099557  0.750000  0.82232360
1.099557  0.791667  0.82795821
1.099557  0.833333  0.83314492
1.099557  0.875000  0.83791398
1.099557  0.916667  0.84229448
1.099557  0.958333  0.84631427
1.099557  1.000000  0.84999983
1.099557  1.041667  0.85337625
1.099557  1.083333  0.85646721
1.099557  1.125000  0.85929494
1.099557  1.166667  0.86188028
1.099557  1.208333  0.86424266
1.099557  1.250000  0.86640023
1.099557  1.291667  0.86836981
1.099557  1.333333  0.87016701
1.099557  1.375000  0.87180628
1.099557  1.416667  0.87330097
1.099557  1.458333  0.87466339
1.099557  1.500000  0.87590487
1.099557  1.541667  0.87703585
1.099557  1.583333  0.87806590
1.099557  1.625000  0.87900384
1.099557  1.666667  0.87985771
1.099557  1.708333  0.88063491
1.099557  1.750000  0.88134221
1.099557  1.791667  0.88198579
1.099557  1.833333  0.88257132
1.099557  1.875000  0.88310395
1.099557  1.916667  0.88358842
1.099557  1.958333  0.88402903
1.099557  2.000000  0.88442972

1.151917  -3.000000  0.00176255
1.151917  -2.958333  0.00193960
1.151917  -2.916667  0.00213439
1.151917  -2.875000  0.00234868
1.151917  -2.833333  0.00258441
1.151917  -2.791667  0.00284373
1.151917  -2.750000  0.00312895
1.151917  -2.708333  0.00344267
1.151917  -2.666667  0.00378769
1.151917  -2.625000  0.00416710
1.151917  -2.583333  0.00458431
1.151917  -2.541667  0.00504302
1.151917  -2.500000  0.00554731
1.151917  -2.458333  0.00610164
1.151917  -2.416667  0.00671089
1.151917  -2.375000  0.00738042
1.151917  -2.333333  0.00811606
1.151917  -2.291667  0.00892421
1.151917  -2.250000  0.00981182
1.151917  -2.208333  0.01078653
1.151917  -2.166667  0.01185660
1.151917  -2.125000  0.01303109
1.151917  -2.083333  0.01431981
1.151917  -2.041667  0.01573344
1.151917  -2.000000  0.01728355
1.151917  -1.958333  0.01898270
1.151917  -1.916667  0.02084446
1.151917  -1.875000  0.02288347
1.151917  -1.833333  0.02511553
1.151917  -1.791667  0.02755760
1.151917  -1.750000  0.03022788
1.151917  -1.708333  0.03314584
1.151917  -1.666667  0.03633221
1.151917  -1.625000  0.03980904
1.151917  -1.583333  0.04359964
1.151917  -1.541667  0.04772858
1.151917  -1.500000  0.05222162
1.151917  -1.458333  0.05710561
1.151917  -1.416667  0.06240837
1.151917  -1.375000  0.06815850
1.151917  -1.333333  0.07438518
1.151917  -1.291667  0.08111785
1.151917  -1.250000  0.08838594
1.151917  -1.208333  0.09621839
1.151917  -1.166667  0.10464324
1.151917  -1.125000  0.11368705
1.151917  -1.083333  0.12337436
1.151917  -1.041667  0.13372694
1.151917  -1.000000  0.14476318
1.151917  -0.958333  0.15649724
1.151917  -0.916667  0.16893834
1.151917  -0.875000  0.18208999
1.151917  -0.833333  0.19594918
1.151917  -0.791667  0.21050578
1.151917  -0.750000  0.22574189
1.151917  -0.708333  0.24163139
1.151917  -0.666667  0.25813965
1.151917  -0.625000  0.27522339
1.151917  -0.583333  0.29283086
1.151917  -0.541667  0.31090213
1.151917  -0.500000  0.32936973
1.151917  -0.458333  0.34815953
1.151917  -0.416667  0.36719177
1.151917  -0.375000  0.38638240
1.151917  -0.333333  0.40564450
1.151917  -0.291667  0.42488986
1.151917  -0.250000  0.44403057
1.151917  -0.208333  0.46298061
1.151917  -0.166667  0.48165740
1.151917  -0.125000  0.49998318
1.151917  -0.083333  0.51788621
1.151917  -0.041667  0.53530180
1.151917  0.000000  0.55217307
1.151917  0.041667  0.56845144
1.151917  0.083333  0.58409691
1.151917  0.125000  0.59907810
1.151917  0.166667  0.61337206
1.151917  0.208333  0.62696388
1.151917  0.250000  0.63984621
1.151917  0.291667  0.65201861
1.151917  0.333333  0.66348682
1.151917  0.375000  0.67426203
1.151917  0.416667  0.68436011
1.151917  0.458333  0.69380080
1.151917  0.500000  0.70260701
1.151917  0.541667  0.71080412
1.151917  0.583333  0.71841931
1.151917  0.625000  0.72548104
1.151917  0.666667  0.73201846
1.151917  0.708333  0.73806107
1.151917  0.750000  0.74363824
1.151917  0.791667  0.74877895
1.151917  0.833333  0.75351155
1.151917  0.875000  0.75786349
1.151917  0.916667  0.76186123
1.151917  0.958333  0.76553008
1.151917  1.000000  0.76889415
1.151917  1.041667  0.77197627
1.151917  1.083333  0.77479798
1.151917  1.125000  0.77737955
1.151917  1.166667  0.77973995
1.151917  1.208333  0.78189691
1.151917  1.250000  0.78386695
1.151917  1.291667  0.78566541
1.151917  1.333333  0.78730653
1.151917  1.375000  0.78880350
1.151917  1.416667  0.79016847
1.151917  1.458333  0.79141269
1.151917  1.500000  0.79254649
1.151917  1.541667  0.79357940
1.151917  1.583333  0.79452016
1.151917  1.625000  0.79537679
1.151917  1.666667  0.79615667
1.151917  1.708333  0.79686653
1.151917  1.750000  0.79751256
1.151917  1.791667  0.79810039
1.151917  1.833333  0.79863521
1.151917  1.875000  0.79912172
1.151917  1.916667  0.79956424
1.151917  1.958333  0.79996670
1.151917  2.000000  0.80033270

1.204277  -3.000000  0.00155299
1.204277  -2.958333  0.00170899
1.204277  -2.916667  0.00188062
1.204277  -2.875000  0.00206944
1.204277  -2.833333  0.00227716
1.204277  -2.791667  0.00250565
1.204277  -2.750000  0.00275698
1.204277  -2.708333  0.00303341
1.204277  -2.666667  0.00333743
1.204277  -2.625000  0.00367177
1.204277  -2.583333  0.00403940
1.204277  -2.541667  0.00444361
1.204277  -2.500000  0.00488800
1.204277  -2.458333  0.00537649
1.204277  -2.416667  0.00591338
1.204277  -2.375000  0.00650341
1.204277  -2.333333  0.00715170
1.204277  -2.291667  0.00786391
1.204277  -2.250000  0.00864617
1.204277  -2.208333  0.00950521
1.204277  -2.166667  0.01044832
1.204277  -2.125000  0.01148349
1.204277  -2.083333  0.01261938
1.204277  -2.041667  0.01386542
1.204277  -2.000000  0.01523181
1.204277  -1.958333  0.01672964
1.204277  -1.916667  0.01837089
1.204277  -1.875000  0.02016850
1.204277  -1.833333  0.02213641
1.204277  -1.791667  0.02428962
1.204277  -1.750000  0.02664422
1.204277  -1.708333  0.02921740
1.204277  -1.666667  0.03202751
1.204277  -1.625000  0.03509406
1.204277  -1.583333  0.03843769
1.204277  -1.541667  0.04208015
1.204277  -1.500000  0.04604428
1.204277  -1.458333  0.05035388
1.204277  -1.416667  0.05503364
1.204277  -1.375000  0.06010898
